Subject left_Lateral-nucleus left_Basal-nucleus left_Accessory-Basal-nucleus left_Anterior-amygdaloid-area-AAA left_Central-nucleus left_Medial-nucleus left_Cortical-nucleus left_Corticoamygdaloid-transitio left_Paralaminar-nucleus left_Whole_amygdala right_Lateral-nucleus right_Basal-nucleus right_Accessory-Basal-nucleus right_Anterior-amygdaloid-area-AAA right_Central-nucleus right_Medial-nucleus right_Cortical-nucleus right_Corticoamygdaloid-transitio right_Paralaminar-nucleus right_Whole_amygdala
T3_2417.long.2417 623.912530 418.263607 257.305351 59.572648 40.272064 19.131976 26.462087 192.380142 46.729231 1684.029636 592.231217 353.319888 219.240775 49.825706 37.875295 18.187910 20.877087 151.010177 38.079449 1480.647505
T3_2423.long.2423 782.325287 493.164940 315.865970 71.113589 54.003380 26.023464 32.769388 208.481061 54.580690 2038.327769 738.655724 492.463945 322.680861 66.869534 51.650502 22.869511 29.492318 198.018023 51.959242 1974.659661
T3_2468.long.2468 572.632324 417.482834 244.383579 51.389180 61.323025 23.429972 24.365477 149.743706 46.322152 1591.072250 567.196685 396.968644 263.163301 41.829518 43.537492 19.943542 27.781178 162.615348 42.610545 1565.646253
T3_2512.long.2512 642.741678 455.090032 305.277181 53.252514 52.925547 25.686521 32.097280 181.500569 45.872258 1794.443579 674.238313 494.922328 331.282065 55.417470 59.187771 27.263428 31.586123 198.505013 51.183051 1923.585562
T3_2520.long.2520 683.742599 378.701474 214.185441 46.252888 44.931458 20.373466 21.011969 147.022082 44.564404 1600.785781 602.696270 405.379746 230.589175 41.600140 42.516317 20.685054 19.204957 155.188067 49.811903 1567.671630
T3_2530.long.2530 496.458340 347.910809 280.087126 47.826999 59.709554 35.390084 35.628494 159.635855 41.433492 1504.080751 505.855071 342.769532 230.395978 40.937773 50.108051 29.073598 27.887402 157.980822 38.235085 1423.243312
T3_2544.long.2544 533.767246 402.875880 231.380093 46.572529 43.190730 14.073942 18.194625 142.061981 41.092715 1473.209740 536.460926 360.409445 221.861947 45.236060 44.547056 20.887632 25.899528 149.596104 42.583079 1447.481778
T3_2590.long.2590 720.501768 491.380488 307.796212 64.297191 52.160464 32.617348 30.732334 205.309480 56.301299 1961.096583 681.173551 503.973931 328.752656 55.295910 49.177373 29.474142 37.163682 199.538300 57.779027 1942.328572
T3_2608.long.2608 598.909860 409.472326 251.183859 60.119748 45.847186 24.499301 24.449292 177.410036 44.028364 1635.919973 629.284657 432.038980 281.110492 56.128481 40.327623 24.657533 28.642893 176.729498 42.133198 1711.053355
T3_2645.long.2645 613.463457 401.501367 241.089191 48.827601 55.033055 23.653359 23.953656 161.852453 48.163100 1617.537240 646.895501 416.532959 264.938413 46.487994 60.970486 29.043553 32.685568 163.988966 46.911423 1708.454862
T3_2646.long.2646 510.393606 365.649703 232.194915 41.500946 37.299658 17.764366 23.342687 139.645869 40.819971 1408.611722 529.378185 360.874512 228.462055 42.621432 35.795118 15.354002 22.986374 139.339128 40.382446 1415.193253
T3_2714.long.2714 540.168744 437.778141 279.947514 43.597826 51.725788 26.206655 25.463279 180.151827 48.569205 1633.608979 600.668752 447.594710 294.828012 51.670939 49.033728 21.121821 24.964224 169.537028 47.437228 1706.856441
T3_2772.long.2772 587.251929 393.000008 256.464093 54.552018 49.499032 22.350811 25.595468 161.020616 41.491959 1591.225934 538.032388 310.931653 202.894977 39.194243 40.749805 23.392000 21.233154 139.581392 36.158262 1352.167874
T3_2795.long.2795 622.699808 420.911928 250.538313 51.321933 45.167609 20.755532 25.648657 177.106505 48.033482 1662.183767 634.893865 438.475523 274.457944 54.151600 36.954736 23.162407 29.339805 174.207524 43.802331 1709.445734
T3_2823.long.2823 549.161649 353.525902 240.059498 45.220140 36.747011 18.314343 24.243979 150.496479 38.162617 1455.931618 511.473792 338.776611 206.578479 50.191551 32.297411 16.361914 20.268737 144.325567 37.190942 1357.465004
T3_2845.long.2845 566.379642 411.359342 282.923736 47.236991 45.926891 24.174988 29.149093 168.514205 43.695497 1619.360384 616.681446 435.335261 277.132861 56.249162 41.965604 22.102669 25.719194 178.785397 44.940865 1698.912459
T3_2846.long.2846 575.766347 407.661995 246.540972 54.183524 41.552232 23.423656 25.556698 175.515405 45.298943 1595.499772 602.965932 439.892855 298.720198 53.527599 45.612977 26.478579 32.101645 188.075809 46.036908 1733.412501
T3_2958.long.2958 559.509081 370.123579 255.427353 44.005171 36.624425 19.394348 22.090995 164.449244 40.039116 1511.663311 617.819570 402.594392 271.778797 51.177868 47.445767 20.848699 27.297888 181.535120 40.436562 1660.934663
T3_3025.long.3025 765.802648 545.715529 389.479932 65.239729 68.799007 31.189723 44.704035 250.369453 56.373431 2217.673486 701.476392 499.877610 355.166420 57.966133 51.166054 22.892086 33.695453 225.678372 55.652087 2003.570606
T3_3056.long.3056 492.734361 390.670273 255.007684 56.005921 48.073954 18.907265 24.464454 172.790073 39.929218 1498.583203 531.761182 365.413952 228.130961 57.454637 44.085505 18.982623 23.987656 145.781623 38.745453 1454.343593
T3_3128.long.3128 714.624167 444.632462 382.924233 71.457508 79.353729 48.325589 52.662405 238.869373 52.384368 2085.233833 748.393241 503.293530 352.040267 72.853411 57.605475 24.186252 35.785988 227.480227 47.563279 2069.201670
T3_3135.long.3135 607.434740 410.204933 278.554938 50.456544 47.209203 29.467221 32.836110 168.331803 43.288699 1667.784191 578.460531 426.964600 288.630118 49.658835 48.987095 24.116407 27.935451 179.406489 43.331105 1667.490632
T3_3143.long.3143 604.741515 409.575084 279.299173 49.955563 42.039453 23.859018 30.354057 177.192860 43.701571 1660.718296 608.027834 418.700193 278.765433 50.212607 45.230032 25.743751 26.859531 170.917475 42.970575 1667.427431
T3_3146.long.3146 642.875900 412.746795 286.373015 62.004903 46.795872 26.049019 29.335596 166.768445 42.640344 1715.589888 611.229081 465.854084 308.071055 61.554394 51.334413 28.606199 29.603099 184.157442 46.677292 1787.087060
T3_3259.long.3259 536.828979 352.232423 230.195059 40.286472 43.491944 20.207187 26.727190 142.199577 36.716918 1428.885748 654.823282 458.310229 299.151564 57.250863 44.382231 18.468143 31.693833 172.765966 45.212150 1782.058262
T3_3299.long.3299 603.655753 406.224989 267.704923 43.358466 43.697085 24.488088 33.108212 157.860838 39.354475 1619.452828 601.547510 409.851230 247.086129 51.846269 49.891115 30.007991 25.857915 170.005883 46.384711 1632.478753
T3_3408.long.3408 694.154270 484.383224 311.465850 59.837027 48.973895 25.926205 27.311107 188.970263 53.720659 1894.742499 666.749267 435.042396 288.145270 56.010111 59.159419 27.771115 29.325304 187.010526 47.843131 1797.056539
T3_3447.long.3447 686.900624 483.025814 287.777013 73.378628 46.509787 19.681895 28.426052 209.198336 52.109230 1887.007379 718.049694 467.055562 305.390711 68.889712 51.392387 17.447534 26.928362 195.048183 48.583248 1898.785393
T3_3533.long.3533 506.701006 336.075815 226.434593 45.431122 45.823869 25.207603 26.631492 152.229257 36.741682 1401.276438 514.071451 360.291778 221.456891 45.019924 39.642061 24.233382 26.347581 158.831886 40.723276 1430.618231
T3_3541.long.3541 789.967646 500.928086 350.858972 58.720979 58.622361 28.635972 34.382891 214.537593 50.788689 2087.443189 861.043879 557.462985 371.184778 80.791249 64.043764 35.738481 39.423045 235.194286 57.705837 2302.588305
T3_3586.long.3586 734.893017 458.254285 291.393848 56.165447 47.479701 23.081258 31.560702 187.393675 48.638660 1878.860594 695.509274 428.251984 274.999693 58.697109 40.951281 21.523637 27.498040 178.819905 43.682522 1769.933445
T3_3610.long.3610 750.507996 519.793860 351.085136 65.651947 55.825078 23.769979 33.157459 228.737025 52.908645 2081.437126 850.105208 557.548770 348.108584 77.150008 67.278446 29.670344 36.085095 226.164739 59.001011 2251.112205
T3_3612.long.3612 687.275846 459.539696 300.643141 56.235220 48.705255 28.530907 31.438806 194.313077 46.869590 1853.551537 685.960861 422.145412 267.825977 58.299359 49.523212 34.105114 31.731379 185.320403 47.106479 1782.018196
T3_3625.long.3625 629.381069 454.660368 291.364067 58.856471 60.057053 30.863398 34.029250 193.401319 51.823365 1804.436361 691.724396 440.733060 283.132639 58.290883 52.836233 35.664294 35.898518 180.099767 50.123061 1828.502852
T3_3646.long.3646 646.578218 440.296989 264.497411 51.239553 56.891204 40.810319 32.905072 165.138722 51.938233 1750.295722 658.040477 474.963832 330.821435 64.535567 53.547451 34.354162 35.998464 186.551531 49.120073 1887.932991
T3_3659.long.3659 717.662291 466.765638 310.376840 54.655714 56.379517 26.995491 32.082537 189.612455 47.439458 1901.969940 704.299613 451.830451 310.596241 51.376012 47.436739 19.494034 29.986665 183.134216 46.146178 1844.300148
